Date,GC1_Gold,DXY_USD,SPX,FTSE100,EWJ,EWW,XLE,XLU,XLV,XLY,AAPL,ABMD,AMZN,DIA,HFC,MDY,MNST,MO,ODFI,ORLY,REGN,ROST,SPY,STZ,TSCO,URI,XLF,XLI,XLK,XLP
1990/1/5,408.5,93.06,352.2,2444.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1990/1/12,414.7,92.56,339.93,2380,,,,,,,,,,,,,,,,,,,,,,,,,,
1990/1/19,410.9,93.76,339.15,2335,,,,,,,,,,,,,,,,,,,,,,,,,,
1990/1/26,420.3,92.53,325.8,2314.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1990/2/2,418.2,92.44,330.92,2355.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1990/2/9,416.1,91.94,333.62,2313.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1990/2/16,417.1,92.07,332.72,2325.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1990/2/23,415,92.2,324.15,2236.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1990/3/2,405.6,94.15,335.54,2254.8,,,,,,,,,,,,,,,,,,,,,,,,,,
1990/3/9,401.6,93.89,337.93,2234.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1990/3/16,400.9,93.82,341.91,2263.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1990/3/23,389.4,94.39,337.22,2283.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1990/3/30,370.2,93.77,339.94,2247.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1990/4/6,380.7,93.7,340.08,2221.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1990/4/13,375.9,92.91,344.34,2222.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1990/4/20,376.6,93.39,335.12,2187.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1990/4/27,374,93.08,329.11,2106.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1990/5/4,373.1,92.43,338.39,2162.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1990/5/11,370.5,91.06,352,2175.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1990/5/18,375.6,91.38,354.64,2269.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1990/5/25,368.4,92.17,354.58,2265.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1990/6/1,359.2,92.99,363.16,2371.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1990/6/8,355.7,93.08,358.71,2366.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1990/6/15,349.5,92.59,362.91,2392.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1990/6/22,350.4,91.97,355.43,2378.5,,,,,,,,,,,,,,,,,,,,,,,,,,
